Institute,Quota,Gender,Year,Academic_Program_Name,Closing_Rank,Opening_Rank,Seat_Type,PwD
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Mechanical Engineering (4 Years, Bachelor of Technology)",651.0,583.0,ST,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",21.0,21.0,OBC-NCL,true
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",60.0,1.0,OPEN,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",848.0,338.0,SC,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",2971.0,1657.0,OPEN,false
Indian Institute of Technology Mandi,AI,Gender-Neutral,2016,"Mechanical Engineering (4 Years, Bachelor of Technology)",1286.0,903.0,SC,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Mathematics and Computing (4 Years, Bachelor of Technology)",266.0,101.0,OBC-NCL,false
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",906.0,577.0,SC,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",1178.0,663.0,SC,false
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Mechanical Engineering (4 Years, Bachelor of Technology)",1900.0,1581.0,OBC-NCL,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",44.0,8.0,OBC-NCL,false
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1.0,1.0,OBC-NCL,true
