Institute,Quota,Gender,Year,Academic_Program_Name,Closing_Rank,Opening_Rank,Seat_Type,PwD
0,3,0,1,2016,138,651.0,583.0,4,0
1,4,0,1,2016,67,21.0,21.0,1,1
2,4,0,1,2016,76,60.0,1.0,2,0
3,4,0,1,2016,101,848.0,338.0,3,0
4,4,0,1,2016,149,2971.0,1657.0,2,0
5,17,0,1,2016,138,1286.0,903.0,3,0
6,5,0,1,2016,133,266.0,101.0,1,0
7,5,0,1,2016,175,906.0,577.0,3,0
8,3,0,1,2016,67,1178.0,663.0,3,0
9,3,0,1,2016,138,1900.0,1581.0,1,0
10,4,0,1,2016,76,44.0,8.0,1,0
11,4,0,1,2016,76,1.0,1.0,1,1
12,4,0,1,2016,101,2250.0,1374.0,2,0
13,5,0,1,2016,44,2535.0,2028.0,1,0
14,5,0,1,2016,54,885.0,803.0,4,0
15,5,0,1,2016,59,708.0,394.0,3,0
16,5,0,1,2016,84,226.0,63.0,1,0
17,5,0,1,2016,138,434.0,255.0,1,0
18,15,0,1,2016,1,430.0,430.0,4,0
19,15,0,1,2016,0,865.0,725.0,3,0
20,15,0,1,2016,59,118.0,118.0,2,0
21,15,0,1,2016,59,900.0,534.0,3,0
22,15,0,1,2016,67,3788.0,2728.0,2,0
23,15,0,1,2016,65,3585.0,2684.0,1,0
24,15,0,1,2016,83,1787.0,1045.0,3,0
25,15,0,1,2016,84,170.0,61.0,4,0
26,3,0,1,2016,70,8142.0,6078.0,2,0
27,3,0,1,2016,76,58.0,58.0,2,0
28,4,0,1,2016,138,371.0,104.0,1,0
29,17,0,1,2016,84,502.0,433.0,4,0
30,3,0,1,2016,69,2529.0,2000.0,1,0
31,5,0,1,2016,76,62.0,33.0,1,0
32,3,0,1,2016,76,2783.0,1497.0,2,0
33,5,0,1,2016,133,187.0,110.0,3,0
34,3,0,1,2016,141,1337.0,1263.0,3,0
35,5,0,1,2016,134,6.0,6.0,2,0
36,3,0,1,2016,152,1405.0,1177.0,3,0
37,5,0,1,2016,138,107.0,51.0,4,0
38,4,0,1,2016,59,75.0,51.0,2,0
39,11,0,1,2016,67,6561.0,4626.0,2,0
40,4,0,1,2016,59,572.0,257.0,3,0
41,11,0,1,2016,67,354.0,342.0,4,0
42,4,0,1,2016,64,4880.0,3323.0,2,0
43,11,0,1,2016,84,3577.0,1730.0,2,0
44,4,0,1,2016,64,2596.0,1753.0,1,0
45,11,0,1,2016,84,59.0,59.0,1,1
46,4,0,1,2016,90,328.0,175.0,1,0
47,15,0,1,2016,0,3497.0,2864.0,2,0
48,4,0,1,2016,90,2.0,2.0,1,1
49,15,0,1,2016,2,6312.0,4321.0,2,0
50,4,0,1,2016,101,1524.0,890.0,1,0
51,15,0,1,2016,9,3763.0,2604.0,1,0
52,4,0,1,2016,138,117.0,29.0,4,0
53,3,0,1,2016,67,2487.0,1941.0,1,0
54,15,0,1,2016,76,149.0,48.0,1,0
55,4,0,1,2016,150,60.0,60.0,2,0
56,15,0,1,2016,76,10.0,10.0,2,0
57,3,0,1,2016,140,758.0,758.0,4,0
58,4,0,1,2016,151,1126.0,998.0,3,0
59,4,0,1,2016,67,2251.0,897.0,2,0
60,15,0,1,2016,83,2355.0,1867.0,1,0
61,17,0,1,2016,67,2668.0,1951.0,1,0
62,4,0,1,2016,76,3.0,2.0,2,0
63,17,0,1,2016,76,349.0,164.0,4,0
64,4,0,1,2016,149,580.0,333.0,4,0
65,4,0,1,2016,150,3450.0,3001.0,2,0
66,5,0,1,2016,44,1563.0,1485.0,3,0
67,5,0,1,2016,60,58.0,58.0,1,1
68,17,0,1,2016,67,7124.0,6162.0,2,0
69,5,0,1,2016,67,34.0,25.0,1,1
70,17,0,1,2016,67,404.0,338.0,4,0
71,5,0,1,2016,76,5.0,5.0,2,0
72,17,0,1,2016,76,669.0,324.0,3,0
73,5,0,1,2016,77,46.0,40.0,4,0
74,17,0,1,2016,84,2240.0,1684.0,1,0
75,5,0,1,2016,84,77.0,3.0,4,0
76,17,0,1,2016,84,989.0,791.0,3,0
77,5,0,1,2016,87,278.0,133.0,3,0
78,5,0,1,2016,59,473.0,356.0,4,0
79,15,0,1,2016,2,804.0,590.0,4,0
80,5,0,1,2016,60,90.0,90.0,2,0
81,15,0,1,2016,54,862.0,704.0,4,0
82,5,0,1,2016,60,702.0,395.0,4,0
83,15,0,1,2016,54,146.0,146.0,2,0
84,5,0,1,2016,133,397.0,250.0,2,0
85,15,0,1,2016,77,389.0,284.0,2,0
86,5,0,1,2016,134,477.0,390.0,2,0
87,15,0,1,2016,83,4128.0,2779.0,2,0
88,15,0,1,2016,0,1508.0,1223.0,1,0
89,15,0,1,2016,5,1994.0,1805.0,3,0
90,15,0,1,2016,54,1456.0,752.0,3,0
91,15,0,1,2016,65,2097.0,1892.0,3,0
92,15,0,1,2016,65,765.0,320.0,4,0
93,15,0,1,2016,67,240.0,118.0,4,0
94,15,0,1,2016,76,86.0,30.0,3,0
95,15,0,1,2016,84,1190.0,138.0,2,0
96,15,0,1,2016,92,351.0,232.0,4,0
97,3,0,1,2016,76,22.0,22.0,1,1
98,4,0,1,2016,64,1743.0,261.0,3,0
99,4,0,1,2016,138,8.0,8.0,1,1
100,4,0,1,2016,142,901.0,803.0,2,0
101,4,0,1,2016,149,104.0,104.0,2,0
102,17,0,1,2016,84,4904.0,3782.0,2,0
103,17,0,1,2016,84,124.0,124.0,2,0
104,5,0,1,2016,59,1072.0,650.1,1,0
105,5,0,1,2016,60,1441.0,1101.0,1,0
106,5,0,1,2016,67,2618.0,767.0,2,0
107,5,0,1,2016,67,1018.0,520.0,1,0
108,5,0,1,2016,87,143.0,11.0,4,0
109,5,0,1,2016,103,2809.0,1074.0,2,0
110,5,0,1,2016,133,51.0,51.0,1,1
111,5,0,1,2016,175,174.0,174.0,2,0
112,5,0,1,2016,179,2959.0,1776.0,1,0
113,11,0,1,2016,76,345.0,74.0,4,0
114,11,0,1,2016,84,98.0,98.0,2,0
115,15,0,1,2016,54,5437.0,4183.0,2,0
116,15,0,1,2016,59,1475.0,1094.0,1,0
117,15,0,1,2016,60,151.0,151.0,2,0
118,15,0,1,2016,73,355.0,258.0,4,0
119,15,0,1,2016,96,417.0,172.0,1,0
120,15,0,1,2016,96,243.0,65.0,3,0
121,3,0,1,2016,70,2622.0,2554.0,1,0
122,3,0,1,2016,84,1891.0,1361.0,1,0
123,3,0,1,2016,140,1123.0,1123.0,3,0
124,4,0,1,2016,0,1841.0,838.0,2,0
